2014-01-25,20:32,49.8023352,15.7442925,"Horní  Bradlo",0.5
2014-01-25,20:17,50.083197,14.430184,"Praha 5",2
2014-01-25,20:06,50.0596731,12.9848486,"Toužim",0.5
2014-01-25,19:59,50.0460919,17.3998822,"Světlá  Hora",1
2014-01-25,19:13,49.9315573,15.8291086,"Chrudim(Vlčnov)",2
2014-01-25,19:05,50.6752948,15.1692123,"Pulečný",2
2014-01-25,19:01,50.089508,17.704502,"Krnov",0.5
2014-01-25,19:01,49.4566348,14.329073,"Zbelítov",1
2014-01-25,18:43,49.8818678,16.876267,"Zábřeh",0.5
2014-01-25,18:08,50.7934038,15.0278007,"Stráž nad Nisou",3
2014-01-25,18:01,50.615632,15.3178204,"Semily II",0.5
2014-01-25,17:41,49.7446959,16.9289283,"Loštice",0.5
2014-01-25,17:17,49.1985,15.6727,"Předín",1
2014-01-25,17:13,49.775744,17.7521586,"Vítkov",5
2014-01-25,16:25,48.7719373,14.9731317,"České Velenice",5
2014-01-25,16:14,49.289642,17.397022,"Kroměříž - Slovan",0.5
2014-01-25,16:09,50.357155,15.1677022,"Dětenice-Brodek, okr. Jičín",3
2014-01-25,15:53,49.3699645,17.0900635,"Brodek u Prostějova",1
2014-01-25,15:40,50.0027008,16.2208443,"Choceň",0
2014-01-25,15:38,49.684393,17.219818,"Štěpánov",2
2014-01-25,15:03,50.6869166,13.855279,"Krupka",0.5
2014-01-25,14:58,49.3402653,17.9929739,"Vsetín",4
2014-01-25,14:49,50.083197,14.430184,"Praha",1
2014-01-25,14:47,49.5999069,18.144043,"Kopřivnice",4
2014-01-25,14:47,49.0885056,17.8756446,"Slavičín, sídliště Vlára",0.5
2014-01-25,14:43,49.590431,17.21796,"Olomouc-Neředín",0.5
2014-01-25,14:24,49.60556,16.09071,"Studnice",5
2014-01-25,13:08,49.8120301,18.2683292,"Ostrava 3",5
2014-01-25,12:03,50.1629753,17.5758018,"Město Albrechtice",0.5
2014-01-25,10:57,50.0588475,13.1118799,"Štědrá",0.5
2014-01-25,10:57,49.9077199,18.4163374,"Dolní Lutyně",3
2014-01-25,10:52,49.1684189,13.8855791,"Volyně",1
2014-01-25,10:08,49.9313007,17.532002,"Razová",2.5
2014-01-25,09:39,49.7558406,18.0157968,"Bílovec",2
2014-01-25,09:33,49.7711792,17.1213665,"Uničov",1.5
2014-01-25,09:25,49.4660347,17.3526109,"Císařov",0.5
2014-01-25,09:06,50.2938526,13.9895785,"Klobuky",0.5
